tconst,genre_id
tt0033874,21
tt0033891,6
tt0033891,9
tt0033891,21
tt0033922,6
tt0033922,21
tt0034012,9
tt0034012,21
tt0034167,5
tt0034167,9
tt0034167,14
tt0034172,9
tt0034172,18
tt0034240,3
tt0034240,6
tt0034240,9
tt0034248,9
tt0034248,12
tt0034248,18
tt0034272,9
tt0034272,14
tt0034272,21
tt0034277,9
tt0034277,27
tt0034277,28
tt0034398,15
tt0034398,18
tt0034398,21
tt0034428,1
tt0034428,3
tt0034428,9
tt0034449,1
tt0034449,6
tt0034449,7
tt0034492,3
tt0034492,4
tt0034492,9
tt0034522,3
tt0034522,9
tt0034583,9
tt0034583,21
tt0034583,27
tt0034587,11
tt0034587,15
tt0034587,26
